OA11Code,Owners
W00008779,Cardiff Community Housing Association
W00008780,"Coolrace, Cardiff Community Housing Association, Gary Anthony"
W00008781,"Cardiff Community Housing Association, Smpd"
W00008782,Cardiff Community Housing Association
W00008784,Cardiff Community Housing Association
W00008785,Cardiff Community Housing Association
W00008786,Cardiff Community Housing Association
W00008788,Cardiff Community Housing Association
W00008789,"Cardiff Community Housing Association, Hafod Housing Association, Whp2"
W00008790,Cardiff Community Housing Association
W00008791,Cardiff Community Housing Association
W00008792,Cardiff Community Housing Association
W00008793,"Cardiff Community Housing Association, South Wales Fire & Rescue Authority"
W00008794,Linc-Cymru Housing Association
W00008795,Cadwyn Housing Association
W00008797,Home Uk
W00008798,"Coolrace, Cardiff Community Housing Association"
W00008799,"Coolrace, Anm Developments, Cadwyn Housing Association"
W00008800,"Cardiff Community Housing Association, Coolrace, Welcome Spaces"
W00008801,"Coolrace, Cardiff Community Housing Association"
W00008803,"Cardiff Council, Landseer Management, Southern Land Securities"
W00008804,Westrise Uk
W00008807,"Signature Living Coal Exchange Ops, Cardiff Council, Ronsons Rentals"
W00008808,"Eui, Olway Investments, Public Health Wales Nhs Trust"
W00008809,"Cardiff Council, Rightacres Property Co., Vastint Uk Services"
W00008814,Cardiff Council
W00008816,Cardiff Council
W00008817,Cardiff Council
W00008818,"Cardiff Council, Rightacres Property Co, Vastint Uk Services"
W00008820,Wales & West Housing Association
W00008825,"A Shade Greener, British Telecommunications"
W00008826,"Wales & West Housing Association, Hafod Housing Association"
W00008828,"Hafod Housing Association, Wales & West Housing Association, West Bromwich Homes"
W00008829,"Hafod Housing Association, The Welsh Housing Partnership"
W00008832,"Wales & West Housing Association, Hafod Housing Association"
W00008835,A Shade Greener
W00008837,A Shade Greener
W00008838,A Shade Greener
W00008839,Wales & West Housing Association
W00008840,"Melvin Properties London, A Shade Greener"
W00008841,A Shade Greener
W00008845,A Shade Greener
W00008847,A Shade Greener
W00008851,A Shade Greener
W00008853,Lloyds Bank
W00008855,Oak House Care
W00008856,Taff Housing Association
W00008857,Taff Housing Association
W00008862,Taff Housing Association
W00008865,Taff Housing Association
W00008866,Linc-Cymru Housing Association
W00008875,Prospero Property
W00008880,Taff Housing Association
W00008881,Cardiff Council
W00008884,Cardiff Council
W00008887,"Glamorgan Investments, The Cathays Cottage Company"
W00008896,Cadwyn Housing Association
W00008900,"Purple Premier Lettings, Cathays Developments"
W00008901,"Purple Premier Lettings, Rite Homes Cardiff"
W00008904,"Purple Premier Lettings, Z&R Properties"
W00008907,Gitto Estates
W00008909,"Wolfson Capital, Purple Premier Lettings"
W00008910,Purple Premier Lettings
W00008911,Cardiff Council
W00008912,"Stone Property Services, Mra Property Holdings"
W00008913,"Pearns Properties, Gitto Estates"
W00008915,"Et Ultra Ad Astra, Gitto Estates, T & A Properties"
W00008916,Cadwyn Housing Association
W00008920,Prince
W00008922,Elite Property Cardiff
W00008925,"May Street Gardens Investments, Seraph Leaseholdings"
W00008930,"Purple Premier Lettings, Gotim 1"
W00008931,Greyhawke Investments
W00008932,Purple Premier Lettings
W00008935,British Telecommunications
W00008939,A Shade Greener
W00008946,"Whp2, Hafod Housing Association"
W00008950,67-69 Rhydypenau Road Management Company
W00008959,"Wallace Partnership Reversionary Group Holdings, 50-56 Heath Halt Road Management Company"
W00008962,"Wallace Partnership Reversionary Group Holdings, 17,19,21 & 23 Pennant Crescent Management Company, Pennant Crescent Management Company"
W00008964,"Gwynant Crescent Management Company, Claerwen Management No. 1, Wallace Estates"
W00008965,Wallace Partnership Reversionary Group Holdings
W00008969,"Clearwater Property Company, Solwain"
W00008970,Lake View Court Residents Association
W00008972,Clearwater Property Company
W00008975,Turner Property
W00008976,"25/31 Farm Drive Management Company, Farm Drive Property Management"
W00008990,A Shade Greener
W00008993,"Cadwyn Housing Association, Hafod Housing Association, The Welsh Housing Partnership"
W00008998,"Dgg Development, Wales & West Housing Association"
W00009010,Cardiff Council
W00009011,Cardiff Council
W00009017,A Shade Greener
