LSOA11Code,LikelihoodHousingHazard,LikelihoodHousingDisrepair
NA,0.18,0.032
W01000001,0.249,0.032
W01000002,0.307,0.04
W01000003,0.136,0.034
W01000004,0.172,0.025
W01000005,0.185,0.040999999999999995
W01000006,0.24100000000000002,0.037000000000000005
W01000007,0.371,0.047
W01000008,0.115,0.019
W01000009,0.321,0.042
W01000010,0.182,0.03
W01000011,0.27699999999999997,0.05
W01000012,0.08900000000000001,0.017
W01000013,0.121,0.017
W01000014,0.10099999999999999,0.016
W01000015,0.096,0.013999999999999999
W01000016,0.271,0.07
W01000017,0.141,0.035
W01000018,0.258,0.036000000000000004
W01000019,0.195,0.024
W01000020,0.322,0.039
W01000021,0.322,0.04
W01000022,0.253,0.031
W01000023,0.16399999999999998,0.025
W01000024,0.184,0.025
W01000025,0.136,0.022000000000000002
W01000026,0.237,0.027999999999999997
W01000027,0.324,0.040999999999999995
W01000028,0.318,0.048
W01000029,0.187,0.034
W01000030,0.161,0.032
W01000031,0.364,0.046
W01000032,0.321,0.036000000000000004
W01000033,0.079,0.012
W01000034,0.099,0.02
W01000035,0.289,0.035
W01000036,0.201,0.046
W01000037,0.13,0.028999999999999998
W01000038,0.231,0.03
W01000039,0.18899999999999997,0.021
W01000040,0.156,0.031
W01000041,0.077,0.013000000000000001
W01000042,0.129,0.017
W01000043,0.105,0.02
W01000044,0.134,0.02
W01001932,0.47200000000000003,0.057
W01001933,0.302,0.047
W01000047,0.24,0.04
W01000048,0.168,0.027999999999999997
W01000049,0.298,0.07200000000000001
W01000050,0.316,0.053
W01000051,0.16,0.034
W01000052,0.145,0.033
W01000053,0.34,0.051
W01000054,0.19,0.031
W01000056,0.327,0.062
W01000057,0.525,0.059000000000000004
W01000059,0.13699999999999998,0.03
W01000060,0.504,0.063
W01000061,0.205,0.046
W01000062,0.174,0.04
W01000063,0.415,0.051
W01000064,0.132,0.026000000000000002
W01000065,0.29,0.061
W01000066,0.406,0.051
W01000067,0.225,0.039
W01000068,0.141,0.033
W01000069,0.18899999999999997,0.026000000000000002
W01000070,0.44,0.054000000000000006
W01000071,0.22899999999999998,0.049
W01000072,0.158,0.032
W01000073,0.345,0.043
W01000074,0.276,0.038
W01000075,0.177,0.039
W01000076,0.239,0.051
W01000077,0.205,0.05
W01000078,0.26899999999999996,0.039
W01000079,0.331,0.044000000000000004
W01000080,0.289,0.034
W01000081,0.264,0.054000000000000006
W01000082,0.494,0.059000000000000004
W01000083,0.552,0.059000000000000004
W01000084,0.309,0.039
W01000085,0.331,0.042
W01000086,0.46399999999999997,0.057999999999999996
W01000087,0.133,0.026000000000000002
W01000088,0.385,0.044000000000000004
W01000089,0.48,0.055999999999999994
